idiom,example,correct_substitution,explanation_correct,incorrect_substitution,explanation_incorrect
stop at nothing,Would she stop at nothing to please her toy boy?,Would she go to any lengths whatever to please her toy boy?,"To stop at nothing means to be willing to do anything however extreme, the question raised about her.",Would she refuse to do even the smallest thing to please her toy boy?,"To stop at nothing means doing anything necessary, but the sentence describes refusing to act at all."
straight from the horse's mouth,They'll use the information happy in the knowledge that it's coming straight from the horse's mouth.,They'll use the information happy in the knowledge that it's coming directly from the original source.,Straight from the horse's mouth means obtained from the most authoritative source.,They'll use the information happy in the knowledge that it's coming through unreliable hearsay.,"The idiom means coming from the original source, but the sentence describes rumour, which would not make anyone happy."
straight from the shoulder,Sometimes he spoke straight from the shoulder and sometimes in puzzles and parables.,Sometimes he spoke bluntly and directly and sometimes in puzzles and parables.,"Straight from the shoulder means speaking frankly without evasion, contrasted with riddles.",Sometimes he spoke evasively and obliquely and sometimes in puzzles and parables.,"Straight from the shoulder means speaking directly, but the sentence describes indirection, which removes the contrast."
strain at the leash,"The shuttle stopped, trembling, as if straining at a leash.","The shuttle stopped, trembling, as if impatient to be released.","To strain at the leash means to be eager to start and held back, matching the trembling.","The shuttle stopped, trembling, as if content to remain still.","The idiom means straining to be released, but the sentence describes willing stillness."
strain every nerve,Vincent strained every nerve to turn himself into a draughtsman acceptable to the illustrated papers.,Vincent made every possible effort to turn himself into a draughtsman acceptable to the illustrated papers.,To strain every nerve means to exert yourself to the utmost.,Vincent made almost no effort to turn himself into a draughtsman acceptable to the illustrated papers.,"The idiom means maximum exertion, but the sentence describes minimal effort."
streets ahead,The bottom line has the Legacy streets ahead of the old GL.,The bottom line has the Legacy vastly superior to the old GL.,"Streets ahead means far better than something else, the verdict on the Legacy.",The bottom line has the Legacy marginally worse than the old GL.,"Streets ahead means far superior, but the sentence rates it below the alternative."
strike a chord,But the picking up strikes a chord and going through the motions always works.,But the picking up resonates with people and going through the motions always works.,"To strike a chord means to produce a sympathetic response in others, the effect described.",But the picking up leaves people wholly cold and going through the motions always works.,"To strike a chord means resonating with people, but the sentence describes no response at all."
strike while the iron is hot,"Maybe he would even mount a punitive expedition tonight, striking while the iron was hot.","Maybe he would even mount a punitive expedition tonight, acting while the opportunity lasted.","To strike while the iron is hot means to act promptly while conditions favour you, hence tonight.","Maybe he would even mount a punitive expedition tonight, waiting until the opportunity had passed.","The idiom means acting promptly, but the sentence describes delaying past the moment."
stroke of luck,Fortunately Johnny was still there — a stroke of luck considering that the pubs were open.,Fortunately Johnny was still there — a piece of good fortune considering that the pubs were open.,"A stroke of luck means a fortunate chance occurrence, which Johnny's presence was.",Fortunately Johnny was still there — a piece of grim misfortune considering that the pubs were open.,"A stroke of luck means good fortune, but the sentence calls it a misfortune, conflicting with 'fortunately'."
stubborn as a mule,I'm as stubborn as a mule.,I'm extremely obstinate and immovable.,Stubborn as a mule means being very hard to persuade.,I'm extremely easily persuaded.,"The idiom means being obstinate, but the sentence describes compliance."
sure as eggs is eggs,"'Sure as eggs is eggs,' she answered in her unashamedly yokel voice.","'As certain as anything can possibly be,' she answered in her unashamedly yokel voice.","Sure as eggs is eggs means something is absolutely certain, the force of her reply.","'As doubtful as anything can possibly be,' she answered in her unashamedly yokel voice.","The idiom means absolute certainty, but the sentence expresses doubt."
swear like a trooper,"Throwing on a dressing-gown and swearing like a trooper, you stumble to answer it.","Throwing on a dressing-gown and cursing profusely, you stumble to answer it.","To swear like a trooper means to use bad language freely, describing the irritated stumble to the door.","Throwing on a dressing-gown and speaking with perfect politeness, you stumble to answer it.","To swear like a trooper means cursing freely, but the sentence describes courteous speech."
sweat blood,If I had to sweat blood it would be done.,If I had to work with agonising effort it would be done.,"To sweat blood means to make an extremely painful effort, the commitment being expressed.",If I had to work with no effort at all it would be done.,"To sweat blood means straining enormously, but the sentence describes effortlessness, which weakens the vow."
sweat like a pig,Makes you sweat like a pig.,Makes you perspire extremely heavily.,To sweat like a pig means to perspire profusely.,Makes you remain completely dry.,"The idiom means sweating heavily, but the sentence describes staying dry."
sweep the board,"Once again the Donaghadee lads swept the boards, landing the top two places overall.","Once again the Donaghadee lads won everything available, landing the top two places overall.","To sweep the board means to win all the prizes, consistent with taking the top two places.","Once again the Donaghadee lads won nothing at all, landing the top two places overall.","To sweep the board means winning everything, but the sentence claims no wins, contradicting the placings."
sweetness and light,It's all sweetness and light here at BBC Good Food.,It's all pleasantness and harmony here at BBC Good Food.,"Sweetness and light means an atmosphere of complete amiability, the claim about the workplace.",It's all bitterness and conflict here at BBC Good Food.,"Sweetness and light means harmony, but the sentence describes discord."
swim against the tide,"There's no point in you trying to swim against the tide now, is there?","There's no point in you trying to resist the prevailing direction now, is there?","To swim against the tide means to go against the general trend, which is said to be futile.","There's no point in you trying to follow the prevailing direction now, is there?","To swim against the tide means resisting the trend, but the sentence describes going along with it."
swing the lead,"Also, a clean face and no swinging the lead or nicking wallets.","Also, a clean face and no shirking your duties or nicking wallets.",To swing the lead means to avoid work by making excuses.,"Also, a clean face and no working diligently or nicking wallets.","The idiom means shirking, but the sentence prohibits hard work, which makes no sense as a rule."
swings and roundabouts,But life with Thomas isn't just a merry-go-round it can be swings and roundabouts.,But life with Thomas isn't just a merry-go-round it can be gains offset by equal losses.,Swings and roundabouts means advantages in one area balanced by disadvantages in another.,But life with Thomas isn't just a merry-go-round it can be pure unbroken gain.,"Swings and roundabouts means gains balanced by losses, but the sentence describes only benefit."
take a back seat,Human rights need not take a back seat to doing business with China.,Human rights need not be given lower priority than doing business with China.,"To take a back seat means to occupy a less important position, which rights need not do.",Human rights need not be given higher priority than doing business with China.,"To take a back seat means being subordinated, but the sentence reverses the priority."
take a bath,"Food manufacturers, already wobbly after Tuesday's report, took another bath at this blow to profits.","Food manufacturers, already wobbly after Tuesday's report, suffered another heavy financial loss at this blow to profits.",To take a bath means to lose a great deal of money.,"Food manufacturers, already wobbly after Tuesday's report, enjoyed another large financial gain at this blow to profits.","The idiom means losing money, but the sentence describes a gain, which a blow to profits contradicts."
take a bow,The music ended and the girl took a bow and disappeared behind some plastic curtains.,The music ended and the girl accepted the applause and disappeared behind some plastic curtains.,"To take a bow means to acknowledge applause after a performance, which the girl did.",The music ended and the girl fled the applause and disappeared behind some plastic curtains.,"To take a bow means accepting applause, but the sentence describes avoiding it."
take a dim view of,As a keen amateur astronomer I take a dim view of being mistaken for a fortune teller!,As a keen amateur astronomer I strongly disapprove of being mistaken for a fortune teller!,"To take a dim view of something means to disapprove of it, punned here on astronomical dimness.",As a keen amateur astronomer I warmly welcome being mistaken for a fortune teller!,"To take a dim view means disapproving, but the sentence describes enthusiasm, which the exclamation contradicts."
take a dive,But advertising is itself extremely volatile and profits could take a dive as easily as they could soar.,But advertising is itself extremely volatile and profits could fall sharply as easily as they could soar.,"To take a dive means to drop suddenly, the counterpart to soaring in a volatile market.",But advertising is itself extremely volatile and profits could hold perfectly steady as easily as they could soar.,"To take a dive means falling sharply, but the sentence describes stability, which is not volatile."
take a hike,"Systems topple, statues walk, long-serving political incumbents take a hike in a huge global shake-up.","Systems topple, statues walk, long-serving political incumbents are forced out in a huge global shake-up.","To take a hike means to be made to leave, fitting the list of upheavals.","Systems topple, statues walk, long-serving political incumbents are firmly entrenched in a huge global shake-up.","The idiom means being forced out, but the sentence describes them staying secure, which no shake-up would produce."
take a leaf out of someone's book,Maybe they should take a leaf out of horse racing's book and introduce starting stalls.,Maybe they should follow horse racing's example and introduce starting stalls.,To take a leaf out of someone's book means to copy their successful practice.,Maybe they should reject horse racing's example and introduce starting stalls.,"The idiom means imitating someone, but the sentence describes rejecting the model while adopting it."
take it easy,Just about the time when a nome ought to be taking it easy.,Just about the time when a nome ought to be resting and relaxing.,"To take it easy means to rest rather than exert yourself, the expectation for that stage of life.",Just about the time when a nome ought to be labouring at full stretch.,"To take it easy means resting, but the sentence describes hard exertion."
take it or leave it,"'Take it or leave it!' he said, shrugging his shoulders and turning his back.","'Accept my offer as it stands or refuse it!' he said, shrugging his shoulders and turning his back.","Take it or leave it means an offer will not be negotiated further, matching the shrug and turned back.","'Let us negotiate the terms at length!' he said, shrugging his shoulders and turning his back.","Take it or leave it refuses negotiation, but the sentence invites it, which the dismissive gesture contradicts."
take someone to task,We shall be taken to task if we disregard foliar feeding.,We shall be sharply criticised if we disregard foliar feeding.,"To take someone to task means to reprimand them, the anticipated consequence of neglect.",We shall be warmly congratulated if we disregard foliar feeding.,"To take someone to task means reprimanding them, but the sentence describes praise for the same neglect."
take someone to the cleaners,"After a shaky start, we took them to the cleaners.","After a shaky start, we defeated them comprehensively.","To take someone to the cleaners means to beat or fleece them thoroughly, the turnaround described.","After a shaky start, we lost to them comprehensively.","The idiom means defeating someone thoroughly, but the sentence describes being beaten."
take someone's word for it,But you'll just have to take my word for it.,But you'll just have to accept my assurance without proof.,"To take someone's word for it means to believe them without evidence, what the listener must do.",But you'll just have to demand full documentary proof from me.,"The idiom means accepting without proof, but the sentence requires evidence."
take something as read,Some things are taken as read and they're not actually said.,Some things are assumed without needing to be stated and they're not actually said.,"To take something as read means to treat it as understood without stating it, which the sentence then confirms.",Some things are explicitly spelled out at length and they're not actually said.,"The idiom means assuming something unstated, but the sentence describes full articulation, contradicting what follows."
take stock,If you are in this position it is important to take stock of what you have taken on.,If you are in this position it is important to review carefully what you have taken on.,"To take stock means to assess your situation deliberately, the advice for that position.",If you are in this position it is important to ignore completely what you have taken on.,"To take stock means reviewing your situation, but the sentence advises disregarding it."
take the biscuit,"Have heard many stories of people running into old school friends, but this one takes the biscuit.","Have heard many stories of people running into old school friends, but this one is the most extraordinary of all.",To take the biscuit means to be the most remarkable or outrageous example.,"Have heard many stories of people running into old school friends, but this one is the dullest of all.","The idiom means being the most striking example, but the sentence calls it the least."
take the bull by the horns,"Sarah hesitated, then seemed to decide to take the bull by the horns.","Sarah hesitated, then seemed to decide to confront the difficulty head on.","To take the bull by the horns means to tackle a problem directly, the decision after hesitating.","Sarah hesitated, then seemed to decide to avoid the difficulty entirely.","The idiom means confronting a difficulty, but the sentence describes evasion, which the hesitation already covered."
take the floor,"I think he plans to kill us all with boredom, d'Alembord told Lucille as they took the floor.","I think he plans to kill us all with boredom, d'Alembord told Lucille as they began to dance.",To take the floor means to step out to dance.,"I think he plans to kill us all with boredom, d'Alembord told Lucille as they left the room.","To take the floor means starting to dance, but the sentence describes departing."
take the gilt off the gingerbread,That took the gilt off the gingerbread and the Daimler bumpers.,That removed the appealing shine from the occasion and the Daimler bumpers.,The idiom means stripping away what made something attractive.,That added extra appealing shine to the occasion and the Daimler bumpers.,"The idiom means removing the appeal, but the sentence describes enhancing it."
take the liberty,"In reply, I take the liberty of raising the question whether we have really become more moral.","In reply, I presume without invitation to raise the question whether we have really become more moral.","To take the liberty means to act without waiting for permission, a polite acknowledgement of presumption.","In reply, I am formally invited to raise the question whether we have really become more moral.","To take the liberty means acting uninvited, but the sentence describes having been asked."
take the mickey,They'd take the mickey out of him at school for that.,They'd mock and tease him at school for that.,"To take the mickey means to ridicule someone, the treatment expected at school.",They'd earnestly admire him at school for that.,"To take the mickey means mocking someone, but the sentence describes admiration."
take the rough with the smooth,I needed them as much as they needed me and I happily took the rough with the smooth.,I needed them as much as they needed me and I happily accepted the bad along with the good.,"The idiom means accepting difficulties as well as benefits, describing the speaker's attitude.",I needed them as much as they needed me and I happily accepted only the good.,"The idiom means accepting bad with good, but the sentence describes taking the benefits alone."
take the wind out of someone's sails,I think she thought I had taken the wind out of Rossetti's sails ….,I think she thought I had deflated Rossetti's confidence ….,"The idiom means removing someone's momentum or self-assurance, what she suspected had happened.",I think she thought I had greatly boosted Rossetti's confidence ….,"The idiom means deflating someone, but the sentence describes encouraging them."
take to the hills,George took to the hills and went to seek solace with his younger brother.,George fled to a place of refuge and went to seek solace with his younger brother.,"To take to the hills means to flee somewhere safe, consistent with seeking solace elsewhere.",George stayed exactly where he was and went to seek solace with his younger brother.,"To take to the hills means fleeing, but the sentence describes remaining in place."
take up the gauntlet,"One of the big four supermarkets, Sainsbury's says it's happy to take up the gauntlet.","One of the big four supermarkets, Sainsbury's says it's happy to accept the challenge.","To take up the gauntlet means to accept a challenge, which Sainsbury's welcomes.","One of the big four supermarkets, Sainsbury's says it's happy to decline the challenge.","To take up the gauntlet means accepting a challenge, but the sentence describes refusing it."
talk nineteen to the dozen,"They often went on excursions, always talking away nineteen to the dozen.","They often went on excursions, always talking away extremely rapidly.","To talk nineteen to the dozen means to speak very fast and continuously, describing the excursions.","They often went on excursions, always talking away very slowly and sparsely.","The idiom means talking rapidly, but the sentence describes slow, sparse speech."
talk of the devil,Betty would have been upset to know that they had been talking of the devil.,Betty would have been upset to know that they had been discussing her just as she appeared.,Talk of the devil is said when someone arrives just as they are being discussed.,Betty would have been upset to know that they had been avoiding all mention of her.,"Talk of the devil means discussing someone who then appears, but the sentence describes never mentioning her."
talk shop,Keep all your meetings and get togethers on a light note by banning anyone talking shop.,Keep all your meetings and get togethers on a light note by banning anyone discussing work.,"To talk shop means to discuss work matters socially, which the ban prevents.",Keep all your meetings and get togethers on a light note by banning anyone discussing anything but work.,"To talk shop means discussing work, but the sentence bans everything except work, reversing the ban."
talk the talk,"If you're going to talk the talk, you've got to be prepared to walk the walk.","If you're going to make the confident claims, you've got to be prepared to walk the walk.","To talk the talk means to say the right things, contrasted with actually doing them.","If you're going to stay entirely silent, you've got to be prepared to walk the walk.","The idiom means making claims, but the sentence describes silence, which removes the contrast."
tell it like it is,But no one can blame Rush for telling it like it is.,But no one can blame Rush for stating the plain truth however unwelcome.,"To tell it like it is means to speak frankly without softening, which Rush is defended for.",But no one can blame Rush for disguising the plain truth carefully.,"The idiom means speaking frankly, but the sentence describes concealment, which would invite blame."
tell tales out of school,I don't want to tell tales out of school.,I don't want to reveal confidences to outsiders.,The idiom means disclosing private matters to those who should not hear them.,I don't want to keep confidences strictly private.,"The idiom means revealing confidences, but the sentence describes keeping them."
tempt providence,"Without wishing to tempt providence, we appear to have got away lightly as far as Winter is concerned.","Without wishing to invite bad luck by boasting, we appear to have got away lightly as far as Winter is concerned.",To tempt providence means to risk misfortune by speaking too confidently.,"Without wishing to guarantee good luck by boasting, we appear to have got away lightly as far as Winter is concerned.","The idiom means risking bad luck, but the sentence promises good fortune instead."
the ball is in someone's court,And they add that the ball is in the Bird's court.,And they add that it is now the Bird's turn to act.,The ball is in someone's court means the responsibility to respond now rests with them.,And they add that it is still entirely their own turn to act.,"The idiom means responsibility has passed to the other party, but the sentence keeps it with the speakers."
the bee's knees,"Mary is fairly plain, but Tom thinks she's the bee's knees.","Mary is fairly plain, but Tom thinks she's absolutely wonderful.","The bee's knees means something regarded as excellent, contrasted with her plainness.","Mary is fairly plain, but Tom thinks she's utterly unremarkable.","The bee's knees means thought excellent, but the sentence describes indifference, removing the contrast."
the biter bit,The role of the biter bit was clearly not one he cared for.,The role of the deceiver who is himself deceived was clearly not one he cared for.,"The biter bit describes someone caught by the trick they meant for others, a role he disliked.",The role of the deceiver who always succeeds was clearly not one he cared for.,"The biter bit means the trickster being tricked, but the sentence describes uninterrupted success."
the buck stops here,"There's no, oh the buck stops here and I can't pass it any further!","There's no, oh final responsibility rests with me and I can't pass it any further!","The buck stops here means responsibility ends with the speaker, matching the inability to pass it on.","There's no, oh responsibility belongs to someone else and I can't pass it any further!","The buck stops here means responsibility rests with the speaker, but the sentence assigns it elsewhere."
the die is cast,Now the die was cast he felt a certain calm.,Now the decision was irrevocably made he felt a certain calm.,"The die is cast means a decision has been made that cannot be undone, which brought calm.",Now the decision remained entirely open he felt a certain calm.,"The die is cast means the decision is final, but the sentence leaves it unresolved."
the grass is always greener,"This may seem insignificant as, in Britain, the grass is almost always green.","This may seem insignificant as, in Britain, what others have always looks better.",The saying means people believe others' circumstances are preferable to their own.,"This may seem insignificant as, in Britain, what others have always looks worse.","The saying means others' circumstances seem better, but the sentence reverses the comparison."
the icing on the cake,The last could be the icing on the cake couldn't it?,The last could be the final welcome addition couldn't it?,The icing on the cake means a pleasing extra on top of something already good.,The last could be the essential missing foundation couldn't it?,"The icing on the cake means a bonus addition, but the sentence makes it a necessity."
the joke is on someone,George and Alex soon realised the joke was on them.,George and Alex soon realised they were the ones being made fools of.,The joke is on someone means they are the target of the mockery they thought they were making.,George and Alex soon realised they were the ones making fools of others.,"The idiom means being the target of the joke, but the sentence puts them in the mocking role."
the plot thickens,"I mean, that really does make the plot thicken doesn't it?","I mean, that really does make the situation more intriguing and complex doesn't it?",The plot thickens means a situation is becoming more complicated and interesting.,"I mean, that really does make the situation far simpler and duller doesn't it?","The plot thickens means growing complexity, but the sentence describes simplification."
the rest is history,The rest is not so much history as anti-racist herstory.,What followed is not so much a well-known outcome as anti-racist herstory.,The rest is history means what followed is already familiar and needs no retelling.,What followed is not so much a completely forgotten outcome as anti-racist herstory.,"The phrase means the sequel is well known, but the sentence describes it being forgotten."
the world and his wife,"Nick and Clem will have invited half the world and his wife, anyway.","Nick and Clem will have invited absolutely everybody, anyway.",The world and his wife means a very large number of people indiscriminately invited.,"Nick and Clem will have invited a tiny select handful, anyway.","The idiom means inviting everyone, but the sentence describes a small exclusive guest list."
there's no such thing as a free lunch,"Truly, there is no such thing as a free lunch, every decision has its own inherent problems.","Truly, everything carries a hidden cost, every decision has its own inherent problems.","The saying means nothing is genuinely without cost, supported by the mention of inherent problems.","Truly, many things carry no cost at all, every decision has its own inherent problems.","The saying denies costless benefits, but the sentence allows them."
there's the rub,THERE'S THE RUB: Fergie eases the tension from her companion Johnny.,THERE LIES THE DIFFICULTY: Fergie eases the tension from her companion Johnny.,"There's the rub identifies the central problem, punned here on massage.",THERE LIES THE SOLUTION: Fergie eases the tension from her companion Johnny.,"The phrase identifies a difficulty, but the sentence presents a resolution."
thick and fast,The rumours are growing thick and fast as weeds and de Craon must be their sower.,The rumours are growing rapidly and in great numbers as weeds and de Craon must be their sower.,"Thick and fast means in large quantities and quick succession, matching the weed comparison.",The rumours are growing slowly and sparsely as weeds and de Craon must be their sower.,"Thick and fast means rapid and plentiful, but the sentence describes slow scattered growth."
think twice,So Swedes may think twice before rushing more money abroad.,So Swedes may reconsider carefully before rushing more money abroad.,"To think twice means to reconsider before acting, the caution the situation prompts.",So Swedes may act more impulsively before rushing more money abroad.,"To think twice means reconsidering, but the sentence describes acting with less thought."
through thick and thin,And I have calculated that you would be on Mr. Stavanger's side through thick and thin.,And I have calculated that you would be on Mr. Stavanger's side in good times and bad alike.,"Through thick and thin means remaining loyal regardless of circumstances, the loyalty predicted.",And I have calculated that you would be on Mr. Stavanger's side only while things went well.,"The idiom means unwavering loyalty, but the sentence makes support conditional on good fortune."
throw a wobbly,Having a toddler throw a wobbly in public is perhaps one of parenting's most embarrassing episodes.,Having a toddler lose their temper dramatically in public is perhaps one of parenting's most embarrassing episodes.,"To throw a wobbly means to have a sudden tantrum, the embarrassing public episode described.",Having a toddler behave with perfect composure in public is perhaps one of parenting's most embarrassing episodes.,"To throw a wobbly means having a tantrum, but the sentence describes calm behaviour, which would not embarrass."
throw caution to the wind,The two of us threw caution to the winds and raced to the rescue.,The two of us abandoned all care for the risks and raced to the rescue.,"To throw caution to the wind means to act boldly without regard for danger, matching the rush to help.",The two of us weighed every possible risk and raced to the rescue.,"The idiom means abandoning caution, but the sentence describes careful deliberation, which racing would not allow."
throw someone to the wolves,"The better-structured, more competitive farmers would be thrown to the wolves.","The better-structured, more competitive farmers would be abandoned to their fate.",To throw someone to the wolves means to sacrifice them to danger without protection.,"The better-structured, more competitive farmers would be carefully shielded from harm.","The idiom means abandoning someone to danger, but the sentence describes protecting them."
tip the scales,This year world population tipped the scales at five billion.,This year world population reached the measured figure of five billion.,"To tip the scales means to register a particular weight or amount, applied here to population.",This year world population fell far short of the measured figure of five billion.,"To tip the scales at a figure means reaching it, but the sentence describes falling below."
to a nicety,"It was as if he were timing something, judging to a nicety some effect he wished to produce.","It was as if he were timing something, judging with exact precision some effect he wished to produce.","To a nicety means with fine exactness, describing the precision of his judgement.","It was as if he were timing something, judging with rough guesswork some effect he wished to produce.","To a nicety means judging precisely, but the sentence describes crude approximation."
to a t,One that fits this description to a T is the T-shirt.,One that fits this description exactly is the T-shirt.,"To a T means fitting perfectly in every detail, punned here on the T-shirt.",One that fits this description very loosely is the T-shirt.,"To a T means fitting exactly, but the sentence describes an approximate match."
to say the least,His ideas of organisation are elementary to say the least.,"His ideas of organisation are elementary, putting it mildly.","To say the least signals that the description is an understatement, softening a harsher judgement.","His ideas of organisation are elementary, putting it as strongly as possible.","To say the least marks an understatement, but the sentence claims maximum emphasis."
to the tune of,They could then be sold off to the tune of a hundred million pounds to pay off debts.,They could then be sold off for the considerable sum of a hundred million pounds to pay off debts.,"To the tune of introduces a notably large amount of money, here the sale proceeds.",They could then be sold off for the trifling sum of a hundred million pounds to pay off debts.,"To the tune of emphasises a large sum, but the sentence calls a hundred million trivial."
tongue in cheek,By the look in his eye I could tell that he was speaking tongue in cheek.,"By the look in his eye I could tell that he was speaking with sly humour, not seriously.","Tongue in cheek means saying something jokingly while appearing serious, betrayed by his eye.",By the look in his eye I could tell that he was speaking in complete earnest.,"Tongue in cheek means speaking jokingly, but the sentence describes total sincerity."
touch base,"Alright, well when you've finished here perhaps we can touch base.","Alright, well when you've finished here perhaps we can make brief contact.","To touch base means to check in briefly with someone, the suggestion for later.","Alright, well when you've finished here perhaps we can avoid all contact.","To touch base means making contact, but the sentence proposes avoiding it."
touch wood,"Touch wood, I've never had to dope him on the lorry.","With luck holding, I've never had to dope him on the lorry.","Touch wood is said to ward off bad luck when mentioning good fortune, hedging the claim.","With my luck certain to fail, I've never had to dope him on the lorry.","Touch wood expresses hope that luck continues, but the sentence predicts it running out."
tough as old boots,"He's as tough as old boots, but playing with drugs is still a mug's game.","He's extremely hardy and resilient, but playing with drugs is still a mug's game.","Tough as old boots means being very durable and hard to damage, the concession before the warning.","He's extremely fragile and delicate, but playing with drugs is still a mug's game.","Tough as old boots means being resilient, but the sentence describes frailty."
tread on someone's toes,"More than most, BMW is very careful not to tread on its own toes when it comes to cabin size.","More than most, BMW is very careful not to have its models compete against each other when it comes to cabin size.","To tread on someone's toes means to encroach where you cause conflict, here between a firm's own models.","More than most, BMW is very careful not to keep its models well separated when it comes to cabin size.","The idiom means causing overlap and conflict, but the sentence describes avoiding separation, reversing the care taken."
tread the boards,And rather than treading the boards … they were teetering two feet above them.,And rather than performing on stage … they were teetering two feet above them.,"To tread the boards means to act on stage, contrasted here with being above the stage floor.",And rather than watching from the audience … they were teetering two feet above them.,"To tread the boards means performing on stage, but the sentence puts them in the audience, which breaks the contrast."
tried and true,"You stick to the tried and true, never going at risk and trying something new.","You stick to the reliably proven, never going at risk and trying something new.","Tried and true means established as dependable through experience, contrasted with the untested.","You stick to the entirely untested, never going at risk and trying something new.","Tried and true means proven and dependable, but the sentence describes the untested, contradicting the avoidance of risk."
true to form,True to form the odd couple had differing views on the subject.,Just as would be expected of them the odd couple had differing views on the subject.,"True to form means behaving in the way that is characteristic of someone, which the disagreement confirms.",Quite out of character for them the odd couple had differing views on the subject.,"True to form means acting characteristically, but the sentence describes surprising behaviour."
turn a blind eye,"TEACHERS are turning a blind eye to pupils smoking at school, a report reveals today.","TEACHERS are deliberately ignoring pupils smoking at school, a report reveals today.","To turn a blind eye means to pretend not to notice something wrong, the accusation in the report.","TEACHERS are vigorously cracking down on pupils smoking at school, a report reveals today.","To turn a blind eye means ignoring wrongdoing, but the sentence describes strict enforcement."
turn over a new leaf,"There is no indication that Hollywood is turning over a new leaf, free of bloodstains.","There is no indication that Hollywood is making a fresh start in behaviour, free of bloodstains.","To turn over a new leaf means to reform and begin behaving better, which Hollywood shows no sign of.","There is no indication that Hollywood is continuing exactly as before, free of bloodstains.","The idiom means reforming, but the sentence describes no change, which contradicts 'free of bloodstains'."
turn someone's head,"He's just turned my head, that's all, and I intend to turn it right back again.","He's just infatuated me, that's all, and I intend to turn it right back again.",To turn someone's head means to make them lose their judgement through flattery or attraction.,"He's just left me entirely unmoved, that's all, and I intend to turn it right back again.","The idiom means causing infatuation, but the sentence describes indifference, leaving nothing to reverse."
turn something on its head,Punk had turned pop music and its attendant culture on its head.,Punk had completely reversed pop music and its attendant culture.,"To turn something on its head means to invert it completely, describing punk's effect.",Punk had carefully preserved pop music and its attendant culture.,"The idiom means overturning something, but the sentence describes leaving it untouched."
turn tail,I was so shocked I just turned tail and ran home as fast as I could.,I was so shocked I just fled in retreat and ran home as fast as I could.,"To turn tail means to flee from something frightening, consistent with running home.",I was so shocked I just stood my ground firmly and ran home as fast as I could.,"To turn tail means fleeing, but the sentence describes holding position, which conflicts with running home."
turn the corner,But we hoped all the time we would turn the corner.,But we hoped all the time we would pass through the worst and begin improving.,"To turn the corner means to get past a difficult stage and start recovering, the sustained hope.",But we hoped all the time we would sink further into the worst.,"To turn the corner means beginning to recover, but the sentence describes worsening, which would not be hoped for."
turn the other cheek,"Anyway, all I can remember is something about turning the other cheek which I don't believe in.","Anyway, all I can remember is something about accepting injury without retaliating which I don't believe in.","To turn the other cheek means to refuse to retaliate against an injury, the principle being rejected.","Anyway, all I can remember is something about repaying injury with force which I don't believe in.","The idiom means declining to retaliate, but the sentence describes striking back."
turn the screw,"Take tonight, for example — and just to turn the screw she had wound him to fever pitch.","Take tonight, for example — and just to increase the pressure she had wound him to fever pitch.",To turn the screw means to intensify pressure on someone.,"Take tonight, for example — and just to relieve the pressure she had wound him to fever pitch.","The idiom means increasing pressure, but the sentence describes easing it, which winding him up contradicts."
turn the tables,How did he always manage to turn the tables on her like that?,How did he always manage to reverse the advantage against her like that?,To turn the tables means to reverse a position of disadvantage into one of advantage.,How did he always manage to preserve her advantage like that?,"The idiom means reversing the advantage, but the sentence describes maintaining hers."
turn turtle,"It hurtled on, shedding wheels and bodywork as it almost turned turtle.","It hurtled on, shedding wheels and bodywork as it almost overturned completely.","To turn turtle means to flip upside down, the near-fate of the vehicle.","It hurtled on, shedding wheels and bodywork as it almost righted itself perfectly.","To turn turtle means overturning, but the sentence describes recovering an upright position."
turn up trumps,The wheel of fortune has turned up trumps and offers you a handsome payola today.,The wheel of fortune has produced an unexpectedly good outcome and offers you a handsome payola today.,"To turn up trumps means to produce a better result than expected, matching the promised windfall.",The wheel of fortune has produced a disappointing outcome and offers you a handsome payola today.,"The idiom means an unexpectedly good result, but the sentence describes disappointment, which no payola would follow."
twist someone's arm,It would seek to twist Government's arm to ensure that appropriate management was bought in.,It would seek to pressure the Government forcefully to ensure that appropriate management was bought in.,"To twist someone's arm means to coerce them into doing something, the intended tactic.",It would seek to leave the Government entirely free to ensure that appropriate management was bought in.,"To twist someone's arm means applying pressure, but the sentence describes leaving them unpressured."
under the microscope,"At the moment, they're vying for position under the microscope.","At the moment, they're vying for position under intense scrutiny.","Under the microscope means being examined very closely, the condition of their competition.","At the moment, they're vying for position entirely unobserved.","Under the microscope means close scrutiny, but the sentence describes no observation at all."
unknown quantity,"Barnes was an unknown quantity, without any clear prejudice on the nuclear issue.","Barnes was a person whose views could not be predicted, without any clear prejudice on the nuclear issue.",An unknown quantity means someone whose character or intentions cannot be judged in advance.,"Barnes was a person whose views were thoroughly documented, without any clear prejudice on the nuclear issue.","An unknown quantity means someone unpredictable, but the sentence describes well-known views."
up a gum tree,It all went wrong when they discovered something up a gum-tree in Malaysia and called it gutta-percha.,It all went wrong when they discovered something in an awkward predicament in Malaysia and called it gutta-percha.,Up a gum tree means being stuck in a difficult position.,It all went wrong when they discovered something in a thoroughly comfortable position in Malaysia and called it gutta-percha.,"The idiom means being stuck in difficulty, but the sentence describes ease."
