idiom,example,correct_substitution,explanation_correct,incorrect_substitution,explanation_incorrect
whoop it up,Let's see if you whoop it up next monday when it's just another start to a shitty week.,Let's see if you celebrate wildly and make a lot of noise next Monday when it's just another start to a shitty week.,"To whoop it up means to celebrate, especially with cheers and whoops, and in this context the speaker is wondering if the person will celebrate next Monday.",Let's see if you keep calm and refrain from making any noise next Monday when it's just another start to a shitty week.,"To whoop it up means to celebrate, especially with cheers and whoops, but in this context the speaker is wondering if the person will keep calm instead"
Banana Republic,"Or, this Banana Republic country","Or, this corrupt government-led country ","A Banana Republic is a small country whose economy depends on a single commodity and is often corrupt, which is why it would make sense for the lbd to be led by a corrupt government.","Or, this honest government-led country ","A Banana Republic is a small country whose economy depends on a single commodity and is often corrupt, but this sentence describes an honest government"
go through the mill,"I told her almost everything, including my reticence about seeing this work of literature go through the mill which was vanity publishing.","I told her almost everything, including my reticence about seeing this work of literature be abused and treated in an extremely harsh manner which was vanity publishing.","To go through the mill means to be abused or treated very harshly, and in this example a work of literature is being treated harshly by vanity publishing.","I told her almost everything, including my reticence about seeing this work of literature be celebrated and treated in an extremely proper manner which was vanity publishing.","To go through the mill means to be abused or treated very harshly, but the context describes being treated in a proper manner."
cut a dash,"Lady cameron, he began, i am a simple country lord without any aspirations to spend the season in london and cut a dash among the ton.","Lady Cameron, he began, I am a simple country lord who doesn't want to spend the season in London and look like a dashing and fashionable gentleman among the upper class. ","To cut a dash means to have a striking attractive and elegant appearance, which is what he would like to have among the upper class in London.","Lady Cameron, he began, I am a simple country lord who doesn't want to spend the season in London and look very frumpy and unattractive among the upper class.","To cut a dash means to have a striking attractive and elegant appearance, but in this sentence he would look frumpy and unattractive"
run the gamut,"Although, i'd never had a nerf fight in the house, my whacky behavior had run the gamut so she wasn't alarmed.","Although, i'd never had a nerf fight in the house, my whacky behavior had been varied and extended across a wide range so she wasn't alarmed.","To run the gamut means to cover or extend across a wide range, which is what happened with speakers whacky behavior that didn't alarm her.","Although, i'd never had a nerf fight in the house, my whacky behavior had not been varied or extended across any range so she wasn't alarmed.","To run the gamut means to cover or extend across a wide range, but in this context his behavior was not varied or extended at all"
cut and run,"Their first impulse was to cut and run, just as their comrades were in the process of doing down on kly.","Their first reaction was to flee and abandon, just as their comrades were in the process of doing down on kly.","To cut and run means to leave a situation very quickly, and in this sentence they are considering fleeing and abandoning just as their comrades are doing.","Their first reaction was to stay and fight, just as their comrades were in the process of doing down on kly.","To cut and run means to leave a situation very quickly, but in this sentence they are considering staying and fighting which is the opposite"
follow suit,Another five villages had indicated they were about to follow suit.,Another five villages had indicated they were about to follow the same path.,"To follow suit means to follow in the same pattern, so the villages indicated that they were about to follow the same path.",Another five villages had indicated they were about to not follow the same path.,"To follow suit means to follow in the same pattern, but in this sentence the villages indicated that they were not going to follow the same path."
off the mark,"If that's supposed to be an insult, you're off the mark.","If that's supposed to be an insult, you're not right.","To be off the mark is to be inaccurate or wrong, and in this context the person's insult is not accurate.","If that's supposed to be an insult, you're very accurate and correct.","To be off the mark is to be inaccurate or wrong, but in this context the person's insult is accurate."
under the rose,"He had risen from the bench to bid the mason farewell, and now he stood under the rose trellis, which had lately come into bloom.","He had risen from the bench to bid the mason farewell, and now he stood privately and confidentially under the rose trellis, which had lately come into bloom.","To stand under the rose means to stand privately or confidentially, which is what he did when he bid the mason farewell.","He had risen from the bench to bid the mason farewell, and now he stood out in the open for everyone to see under the rose trellis, which had lately come into bloom.","To stand under the rose means to stand privately or confidentially, but in this context he stood out in the open for everyone to see"
take root,"With each lap of the waves against the hull, tony closed off insidious emotions before they could take root inside him and focused on the shore.","With each lap of the waves against the hull, tony closed off insidious emotions before they could take effect inside him and focused on the shore.","To take root means to begin to take hold or have effect, and in this context the emotions are being closed off before they can take effect.","With each lap of the waves against the hull, tony closed off insidious emotions before they start being redundant inside him and focused on the shore.","To take root means to begin to take hold or have effect, but in this context the emotions are starting to be redundant"
give it a whirl,"Why not give it a whirl, he said with a wink, whats to lose?","Why not give it a try, he said with a wink, whats to lose?","To give it a whirl means to try something, and in this sentence the speaker is suggesting trying something new.","Why give it a try, he said with a wink, whats to lose?","To give it a whirl means to try something, but in this sentence the speaker is suggesting not trying something new."
go to the wall,Go and see if any of the hunters want to go to the wall again.,Go and see if any of the hunters want to take on great risk again.,"To go to the wall means to take on great risk, so the hunters would be taking on great risk if they decided to go again.",Go and see if any of the hunters want to  avoid taking on great risk again.,"To go to the wall means to take on great risk, but this context describes the hunters avoiding taking on great risk."
in no uncertain terms,"And jacob had been told in no uncertain terms that if he shoved his piece of wedding cake all over my mouth, mom was confiscating his snowmobile.","And Jacob had been told very explicitly and emphatically that if he shoved his piece of wedding cake all over my mouth, mom was confiscating his snowmobile.","To be told in no uncertain terms means to be told very explicitly and emphatically, as is the case in this context.","And Jacob had been told in very uncertain terms that if he shoved his piece of wedding cake all over my mouth, mom was confiscating his snowmobile.","To be told in no uncertain terms means to be told very explicitly and emphatically, but this context uses the term in an uncertain manner"
take pride,I take pride in the fact that a handful of people got a little something extra because of us that day.,I value and appreciate the fact that a handful of people got a little something extra because of us that day.,"To take pride means to value and appreciate something, which is what the speaker is doing in regards to the people getting something extra because of them.",I do not value or appreciate the fact that a handful of people got a little something extra because of us that day.,"To take pride means to value and appreciate something, but the speaker does not value or appreciate it in this context."
shoot the breeze,Although I'm on facebook and twitter if you want to shoot the breeze anytime hope you 'll get in touch soon!,Although I'm on facebook and twitter if you want to chat casually anytime hope you 'll get in touch soon!,"To shoot the breeze means to chat aimlessly or casually, which is what the person wants to do if the other person gets in touch soon.",Although I'm on facebook and twitter if you want to have a serious discussion anytime hope you 'll get in touch soon!.,"To shoot the breeze means to chat aimlessly or casually, but this context is about having a serious discussion."
for crying out loud,"Sarah: I'm your wife, for crying out loud.","Sarah: I'm your wife, for goodness sake.","For crying out loud is an expression of frustration or surprise, which is what Sarah is expressing here.","Sarah: I'm your wife, and I don't care.","For crying out loud is an expression of frustration or surprise, but Sarah is expressing neither of those emotions in this sentence."
no sweat,"Mella orders, while bobbing her skull up and down several times ,no sweat she thinks.","Mella orders, while bobbing her skull up and down several times not a problem she thinks","No sweat means not a problem or difficulty, so in this context it's not a problem for her to order while bobbing her skull.","Mella orders, while bobbing her skull up and down several times a big problem she thinks.","No sweat means not a problem or difficulty, but in this context it is a big problem for her to orders while bobbing her skull."
joined at the hip,"Over the past month I had got used to being alone, and spending a week joined at the hip to vanessa working and sleeping with hardly a minute's break, had been hard.","Over the past month I had got used to being alone, and spending a week attached and inseparable to Vanessa working and sleeping with hardly a minute's break, had been hard.","To be joined at the hip means to be closely connected, and in this context it is used to describe how hard it was to spend a week with Vanessa when he was used to being alone.","Over the past month I had got used to being alone, and spending a week being aloof and absolutely distant to Vanessa working and sleeping with hardly a minute's break, had been hard.","To be joined at the hip means to be closely connected, but in this context the speakrer is describing how hard it was being aloof and absolutely distant to Vanessa in that particular week when he actually got used to being alone."
throw your weight around,"She turned to colin, you might have to throw your weight around.",She turned to Colin and said that he needs to be assertive and controlling in order to get what he wants.,"To throw your weight around means to assert oneself in a controlling or domineering manner, which is what she wants Colin to do.",She turned to Colin and said that being assertive and controlling will not help him get what he wants.,"To throw your weight around means to assert oneself in a controlling or domineering manner, but in this context she says that it won't help him get what he wants"
think the world of,"I think the world of jacqueline and reese for the way they helped alix, helped and encouraged her through her schooling and as a bride-to-be.","I greatly admire and respect Jacqueline and Reese for the way they helped Alix, encouraged her through her schooling and as a bride-to-be.","To think the world of someone is to greatly admire and respect them, which is how the speaker feels about Jacqueline and Reese.","I dislike and have no respect for Jacqueline and Reese for the way they helped Alix, encouraged her through her schooling and as a bride-to-be.","To think the world of someone is to greatly admire and respect them, but in this context the speaker dislikes and has no respect for them"
be out of this world,"I can't like him, but my god, he's so damn good-looking, and his body is out of this world.","I can't like him, but my god, he's so handsome, and his body is supernatural.","To be out of this world means to be extraordinary, and in this sentence his good looks and body are extraordinary.","I can't like him, but my god, he's not handsome, and his body is ordinary.","To be out of this world means to be extraordinary, but in this sentence his looks and body are ordinary"
in a fog,Time he had spent wandering in a fog of drugs and pain.,Time he had spent wandering in a state of confusion and without any focus due to the drugs and pain.,"To be in a fog means to be confused and not fully aware, which is what the person in this context was due to the drugs and pain.",Time he had spent wandering in a state of complete clarity and with full focus due to the drugs and pain.,"To be in a fog means to be confused and not fully aware, but this context describes being fully aware and focused due to the drugs and pain."
not to put too fine a point on it,"not to put too fine a point on it, sir, the man looked like a bloke who broke heads for a living.","To speak frankly, sir, the man looked like a bloke who broke heads for a living.","Not to put too fine a point on it means to speak bluntly, which is what the speaker is doing when they say the man looked like a bloke who broke heads for a living.","To mince words, sir, the man looked like a bloke who broke heads for a living.","Not to put too fine a point on it means to speak bluntly, but the speaker is mincing words instead."
gild the lily,"Now you can go crazy if you want, or get jesus, or get drunk but you saw what you saw and leave us not gild the lily, all right?","Now you can go crazy if you want, or get jesus, or get drunk but you saw what you saw and leave us not add any more unnecessary embellishments, all right?","To gild the lily means to add unnecessary embellishments to something that is already beautiful, but in this sentence they are asking to not add any more embellishments.","Now you can go crazy if you want, or get jesus, or get drunk but you saw what you saw and leave us not remove any of the current embellishments, all right?","To gild the lily means to add unnecessary embellishments to something that is already beautiful, but in this sentence they are asking to not remove any of the current embellishments"
go bananas,The fans go bananas.,The fans become extremely irrational and crazy.,"To go bananas means to become irrational or crazy, which is what the fans in this sentence become.",The fans become calm and rational.,"To go bananas means to become irrational or crazy, but the fans in this sentence become calm and rational instead."
cut the gordian knot,"I have no idea how he did it, but he sure cut the gordian knot.“","I have no idea how he did it, but he sure solved the very challenging problem decisively.","To cut the Gordian knot means to solve a very challenging problem decisively, which is what he did in this sentence.","I have no idea how he did it, but he sure failed to solve the very challenging problem decisively.","To cut the Gordian knot means to solve a very challenging problem decisively, but this sentence describes him failing to do so."
change your tune,You 'll change your tune and be expectin me to stay over nights or watch the kid during the day so you can get your beauty sleep.,You'll become more welcoming and agreeable and be expecting me to stay over nights or watch the kid during the day so you can get your beauty sleep.,"To change one's tune typically means to change in a more positive or agreeable manner, as described in the entailment.",You'll become more cold and uninviting and be expecting me to stay over nights or watch the kid during the day so you can get your beauty sleep.,"To change one's tune typically means to change in a more positive or agreeable manner, but the contradiction describes a change in a cold and uninviting manner."
slap and tickle,"Not a married guy out looking for a quick slap and tickle, but a man who would truly love her.","Not a married guy out looking for a quick physical amorous play, but a man who would truly love her.","A slap and tickle refers to physical amorous play, so the entailment is saying that the man is not just looking for physical play, but for love.","Not a married guy out looking for a quick verbal amorous play, but a man who would truly love her.","A slap and tickle refers to physical amorous play, but the contradiction is saying that the man is looking for verbal amorous play instead"
be first call,It has first call on my time now.,It has the highest priority and is the most important competing for my time now.,"To be first call means to be the most important person or thing competing for somebody's time, which is what this sentence describes.",It has the lowest priority and is not very important competing for my time now.,"To be first call means to be the most important person or thing competing for somebody's time, but in this sentence it has the lowest priority"
foot the bill,Foy offered to foot the bill to bring him to midstate as soon as possible.,Foy offered to pay for to bring him to midstate as soon as possible.,"To foot the bill means to pay for something, and that is what Foy offered to do in this sentence.",Foy offered to lend money to bring him to midstate as soon as possible.,"To foot the bill means to pay for something, but this sentence describes Foy offering to lend money instead"
rule the roost,She didn't rule the roost.,She wasn't the boss.,"To rule the roost means to be the boss, so not ruling the roost means she wasn't the boss.",She was the boss.,"To rule the roost means to be the boss, so ruling the roost means she was the boss."
laugh all the way to the bank,I would twist the city's tit for all I could get and then laugh all the way to the bank.,I would exploit the city's resources for all I could get and then be very pleased with myself as I deposited the money earned through unfair means.,"To laugh all the way to the bank means to be happy about the money earned, even if it was earned in a way that others might think is unfair which is what the speaker did as he exploited the city's resources.",I would exploit the city's resources for all I could get and then be really shattered with myself as I deposited the money earned with blood and sweat.,"To laugh all the way to the bank means to be happy about the money earned, but in this context the person is not happy about the money earned"
go from strength to strength,"He may go from strength to strength, in the life of perfect service.","He may continuously become more successful or improved, in the life of perfect service.","To go from strength to strength means to become increasingly successful or improved, which is what he may do in the life of perfect service.","He may not have any success or improvement, in the life of perfect service.","To go from strength to strength means to become increasingly successful or improved, but this sentence describes a lack of success or improvement"
take a leak,I'm going to take a leak.,I'm going to urinate.,To take a leak means to urinate.,I'm not going to urinate.,"To take a leak means to urinate, but this context negates that meaning."
catch my eye,But she did catch my eye when I entered and flashed me a smile.,But she did attract my attention and interest when I entered and flashed me a smile.,"To catch my eye means to attract my attention or interest, which is what she did by flashing a smile.",But she did not attract my attention or interest when I entered and flashed me a smile.,"To catch my eye means to attract my attention or interest, but in this sentence she did not do that"
indian summer,They were finally moving out of the indian summer and into the stormy season.,They were finally moving out of the unseasonably warm weather in early fall and into the stormy season.,"Indian summer is a period of unseasonably warm weather in early fall, which is what they were moving out of.",They were finally moving out of the chilly weather in early fall and into the stormy season.,"Indian summer is a period of unseasonably warm weather in early fall, but this context describes them moving out of chilly weather instead"
good offices,"I hope that, as neighbours, we may live long in peace and amity, and in the interchange of those good offices which should subsist between us.","I hope that, as neighbours, we may live long in peace and amity, and in the frequent exchange of kindly assistance which should subsist between us.","To exchange good offices is to exchange aid or support, which is what this context is describing.","I hope that, as neighbours, we may live long in peace and amity, and in the rare exchange of any sort of assistance which should subsist between us.","To exchange good offices is to exchange aid or support, but in this context the exchange is rare, which goes against the meaning of the idiom"
sleep like a log,"I 'll sleep like a log tonight, though.",I will sleep deeply and soundly tonight.,"To sleep like a log means to experience a very deep and restful sleep, which is what the speaker will do tonight.",Tonight will be a sleepless night for me.,"To sleep like a log means to experience a very deep and restful sleep, but the context describes the speaker not being able to sleep at all."
not much cop,I just was not much cop as an accountant.,I just was not very good as an accountant.,"To not be much cop means to not be very good, which is what the speaker was as an accountant.",I just was exceptionally good as an accountant.,"To not be much cop means to not be very good, but in this context the speaker was exceptionally good"
laughing stock,Were going to be the laughing stocks of the whole country.,We're going to be the people who everyone mocks and laughs at because we made a huge mistake.,"A laughing stock is a person who is the subject of mockery after a blunder, and this context describes being mocked by the whole country.",We're going to be the people who everyone admires and looks up to because we made a huge mistake.,"A laughing stock is a person who is the subject of mockery after a blunder, but this context describes being admired by the whole country."
to the letter,"Crosby was a sergeant who was very good at obeying orders to the letter, which was how he'd made it all the way to e-5.","Crosby was a sergeant who was very good at obeying orders precisely and exactly as they were written or instructed, which was how he'd made it all the way to e-5.",To obey orders to the letter means to obey them exactly as they are written or instructed.,"Crosby was a sergeant who was very good at obeying orders in his own way and not precisely as they were written or instructed, which was how he'd made it all the way to e-5.","To obey orders to the letter means to obey them exactly as they are written or instructed, but in this context Crosby disobeyed them in his own way"
go through the motions,"Jack continued to go through the motions of reading and writing, but his glance drifted slightly.","Jack continued to fake and make a feeble effort of reading and writing, but his glance drifted slightly.","To go through the motions means to make a feeble effort to do something, which is what Jack was doing when he continued to fake and make a feeble effort of reading and writing.","Jack continued to try really hard and put in a lot of effort of reading and writing, but his glance drifted slightly.","To go through the motions means to make a feeble effort to do something, but in this context Jack was trying really hard and putting in a lot of effort"
shuffle off this mortal coil,"This one was too healthy to pop his clogs in the middle of the night, he might need a bit of help to shuffle off this mortal coil.","This one was too healthy to die in the middle of the night, he might need a bit of help to kick the bucket.","To shuffle off this mortal coil means to die, and in this context the person is too healthy to die without help.","This one was too healthy to die in the middle of the night, he might need a bit of help to stay alive and not die.","To shuffle off this mortal coil means to die, but in this context the person is too healthy to die and might need help to stay alive."
make due,"We're sending your sister to stella's once she gets back, and your mom and I will make due at the house until we can get everything fixed.","We're sending your sister to Stella's once she gets back, and your mom and I will get by with what we have at the house until we can get everything fixed.","To make due means to make the best use of whatever is provided, even if it is not ideal, and in this context they will make do with what they have at the house.","We're sending your sister to Stella's once she gets back, and your mom and I will not be able to manage with what we have at the house until we can get everything fixed.","To make due means to make the best use of whatever is provided, but in this context it is not clear if they will be able to make do with what they have at the house."
build castles in the air,Only those with their feet on rock can build castles in the air.,Only those with their feet on rock can make plans that are unattainable.,To build castles in the air means to make plans that can never come true.,Only those with their feet on rock can make plans that are very achievable and realistic.,"To build castles in the air means to make plans that can never come true, but this sentence is saying that only those who are grounded can make plans that are achievable and realistic."
get picture,"I bite down on my lip, unable to finish the sentence, let alone get the picture of what I just witnessed.","I bite down on my lip, unable to finish the sentence, let alone comprehend what I just witnessed.","To get the picture is to understand a situation, and in this sentence the speaker is trying to understand what they just witnessed.","I bite down on my lip, unable to finish the sentence, let alone misunderstand what I just witnessed.","To get the picture is to understand a situation, but in this sentence the speaker is having trouble understanding what they just witnessed."
gather dust,The memory I hold of my father in my mind is of him letting his inventions gather dust when Bennet caught a cold when we were ten years old.,The memory I have of my father in my mind is of him letting his inventions sit idly and not being used when Bennet caught a cold when we were ten years old.,"To gather dust means to be unused or forgotten, and in this sentence the father's inventions are being unused and forgotten.",The memory I have of my father in my mind is of him letting his inventions being used constantly when Bennet caught a cold when we were ten years old.,"To gather dust means to be unused or forgotten, but in this sentence the father's inventions are being used constantly"
follow your nose,"If you want fresh food, just follow your noses and you will find villagers happy to sell or trade what they have.","If you want fresh food, just go with your gut feeling and you will find villagers happy to sell or trade what they have.","To follow your nose means to trust one's instinct, which is what you would need to do in order to find fresh food.","If you want fresh food, just ignore your gut feeling and you will find villagers happy to sell or trade what they have.","To follow your nose means to trust one's instinct, but in this sentence you would need to ignore your gut feeling to find fresh food"
save face,Are those people-the kind of people who would tell a child that his mother was dead just to save face-are they the ones you want to help?,Are those people-the kind of people who would tell a child that his mother was dead just to avoid embarrassment-are they the ones you want to help?,"To save face is to try to regain favorable standing after something embarrassing has happened, so in this context speaker is referring to the people who would tell a child that his mother was dead to avoid embarrassment.",Are those people-the kind of people who would tell a child that his mother was dead just to accept their guilt and face embarassment-are they the ones you want to help?.,"To save face is to try to regain favorable standing after something embarrassing has happened, but in this context speaker is referring to people who would accept their guilt and face embarassment which contradicts the meaning"
at the end of the day,"I believe at the end of the day, we represent more of the qualities they deem important.","All things considered, I believe we represent more of the qualities they deem important.","At the end of the day means when everything else has been taken into consideration, and in this sentence everything else has been considered and it is concluded that the speaker represents more of the qualities they deem important.","Despite everything, I believe we represent more of the qualities they deem important.","At the end of the day means when everything else has been taken into consideration, but this sentence states that despite everything, the speaker still represents more of the qualities they deem important."
twist the knife,"Most of the time, his expression is dominated by more cerebral emotions: self-satisfaction, curiosity, amusement, a desire to twist the knife.","Most of the time, his expression is dominated by more cerebral emotions: self-satisfaction, curiosity, amusement, a desire to deepen the wound.","To twist the knife means to add to exacerbate or amplify a betrayal or wrong by further malicious actions, which is what is happening in this context.","Most of the time, his expression is dominated by more cerebral emotions: self-satisfaction, curiosity, amusement, a desire to mend the rift.","To twist the knife means to add to exacerbate or amplify a betrayal or wrong by further malicious actions, but in this context his actions would be mending the rift instead."
full of the joys of spring,"you 'll never find me full of the joys of spring, and I don't mince my words.","you'll never find me very happy and cheerful, and I don't mince my words.","To be full of the joys of spring means to be very happy and cheerful, which is how the person in this sentence is feeling.","you'll never find me sad and dreary, and I don't mince my words.","To be full of the joys of spring means to be very happy and cheerful, but this sentence describes the person as being sad and dreary"
in one ear and out the other,"It wasn't glib or run of the mill ,it didn't go in one ear and out the other.","It wasn't glib or run of the mill ,it wasn't ignored or forgotten immediately after being heard.",The idiom in one ear and out the other is used to describe something that is essentially ignored or dismissed after being heard which is what being stated in this context by saying that it didn't go in one ear and out the other a.k.a it wasn't ignored or forgotten.,"It wasn't glib or run of the mill ,it was immediately ignored and dismissed after being heard.","The idiom in one ear and out the other is used to describe something that is essentially ignored or dismissed after being heard which is what being contradicted in this context by saying that it was immediately ignored and dismissed, the opposite of it didn't go in one ear and out the other."
make head or tail of,I can't make head or tail of it.,I can't understand it.,"To make head or tail of something is to understand it, and in this context the person cannot understand it.",I can't express in words how easy it is to understand it.,"To make head or tail of something is to understand it, but this context describes the opposite by saying how easy it is to understand"
not bat an eye,Zoe eldritch did not bat an eye.,Zoe eldritch was not at all fazed or perturbed.,"To not bat an eye means to not display even a hint of an emotional response, which in this context Zoe Eldritch was doing.",Zoe eldritch was extremely fazed and perturbed.,"To not bat an eye means to not display even a hint of an emotional response, but the context describes Zoe eldritch being extremely fazed and perturbed"
shipshape and bristol fashion,"Retired, head of admin., Whose job it is, in his own words, 'to keep the place shipshape and bristol fashion.","Retired, head of admin., Whose job it is, in his own words, 'to keep the place in perfect condition.","Shipshape and bristol fashion means in perfect order, and the context is saying that it is the man's job to keep the place in perfect condition.","Retired, head of admin., Whose job it is, in his own words, 'to keep the place in an absolute mess.","Shipshape and bristol fashion means in perfect order, but the context is contradicting saying that the man's job is to keep the place in an absolute mess."
charity begins at home,What about the idea that charity begins at home?,What about the idea that helping those closest to you should be your priority?,"The idiom charity begins at home means that one should help family and close friends before helping others, so the entailment is that helping those closest to you should be your priority.",What about the idea that helping strangers should be your priority?,"The idiom charity begins at home means that one should help family and close friends before helping others, but the contradiction is that helping strangers should be your priority."
up to snuff,You must not have been up to snuff for her to run so fast.,You must not have been good enough for her to run so fast.,"To be up to snuff means to be as good as is required, and in this context the speaker wasn't good enough for the other person.",You must have been exceptionally good for her to run so fast.,"To be up to snuff means to be as good as is required, but in this context the speaker was exceptionally good"
dead as a dodo,"Although popular in the 1970s, disco music is as dead as a dodo today.","Although it was popular in the 1970s, disco music is not at all popular or trendy today.","To be dead as a dodo means to be outdated or unpopular, and disco music is no longer popular today.","Although it was popular in the 1970s, disco music is still very popular and trendy today.","To be dead as a dodo means to be outdated or unpopular, but disco music is still popular today."
no smoke without fire,no smoke without fire was the generally accepted reaction to his sacking.,People usually don't make things up out of thin air  without any truth was the generally accepted reaction to his sacking,"The idiom means that there is usually truth behind a rumor, and the context is saying that the generally accepted reaction was that there was truth behind the rumor of his sacking.",People usually make things up out of thin air without any proof was the generally accepted reaction to his sacking.,"The idiom means that there is usually truth behind a rumor, but the context is saying that the generally accepted reaction was that there was no truth behind the rumor of his sacking."
indian summer,The weather had stayed cold and dreary for the entire week; our indian summer was now just a memory.,The weather had stayed cold and dreary for the entire week; our unseasonably warm weather in early fall was now just a memory.,"An indian summer is a period of unseasonably warm weather, which is what is described in the context.",The weather had stayed cold and dreary for the entire week; our unseasonably cold weather in early fall was now just a memory.,"An indian summer is a period of unseasonably warm weather, but the context describes unseasonably cold weather instead"
let the cat out of the bag,I had to take it on faith that finn wouldn't let the cat out of the bag.,I had to take it on faith that Finn wouldn't reveal the secret by accident.,"To let the cat out of the bag means to reveal a secret by accident, so in this context it is implied that Finn would not accidentally reveal the secret.",I had to take it on faith that Finn wouldn't keep the secret on purpose.,"To let the cat out of the bag means to reveal a secret by accident, but in this context it is implied that Finn would deliberately keep the secret"
take pride,"I take pride in pissing rose off, but causing her this type of fear-even unintentionally-makes me feel horrible.","I enjoy and take satisfaction in pissing rose off, but causing her this type of fear-even unintentionally-makes me feel horrible.","To take pride means to take satisfaction in something, so in this context the speaker is saying that they enjoy making rose angry.","I dislike and take no satisfaction in pissing rose off, but causing her this type of fear-even unintentionally-makes me feel horrible.","To take pride means to take satisfaction in something, but in this context the speaker is saying that they dislike and take no satisfaction in making rose angry which contradicts with the meaning of ."
run out of steam,"It could be a long match tomorrow, and he could run out of steam if it goes to five sets.","It could be a long match tomorrow, and he could lose his stamina and fail if it goes to five sets.","To run out of steam means to lose momentum and fail, and in this context he could lose his stamina and fail if the match goes to five sets.","It could be a long match tomorrow, and he could sustain his energy and not fail if it goes to five sets.","To run out of steam means to lose momentum and fail, but in this context he could sustain his energy and not fail if the match goes to five sets."
crash and burn,"I was on my second drink, it looked like open mic night was going to crash and burn.","I was on my second drink, it looked like open mic night was going to fail miserably and be a complete disaster.","To crash and burn means to fail at something completely and dramatically, which is what it looked like open mic night was going to do.","I was on my second drink, it looked like open mic night was going to succeed greatly and be a huge success.","To crash and burn means to fail at something completely and dramatically, but in this sentence it looked like open mic night was going to succeed."
let bygones be bygones,"See, I was willing to let bygones be bygones till they took things too far.","See, I was willing to move on and not dwell in the past till they took things too far.","To let bygones be bygones is to stop focusing on something that happened in the past, and in this context the speaker is willing to move on until the other party took things too far.","See, I was willing to hold a grudge and not forgive till they took things too far.","To let bygones be bygones is to stop focusing on something that happened in the past, but in this context the speaker is willing to hold a grudge and not forgive"
wake up and smell the coffee,"If nothing else, we the american people better wake up and smell the coffee.","If nothing else, we the american people better pay attention to what is happening.","To wake up and smell the coffee means to pay attention to what is happening, and this is what the context is urging the American people to do.","If nothing else, we the american people better ignore what is happening.","To wake up and smell the coffee means to pay attention to what is happening, but this context is urging the American people to ignore what is happening."
full of beans,I was a professional from berlin in germany and full of beans.,I was a professional from Berlin in Germany and full of energy and vigor.,"To be full of beans means to be very active and energetic, which is what the sentence describes.",I was a professional from Berlin in Germany and lacking energy and vigor.,"To be full of beans means to be very active and energetic, but the sentence describes being lacking in energy and vigor."
hum and haw,Soon he got restless “I wish they would get on with the debate.How much longer do we have to hear this guy hum and haw?”,Soon he got restless “I wish they would get on with the debate.How much longer do we have to hear this guy stall and avoid giving a straight answer?”,"To hum and haw means to speak in an evasive or roundabout way, which is what he was doing when he was stalling and avoiding giving a straight answer.",Soon he got restless “I wish they would get on with the debate.How much longer do we have to hear this guy give a direct and straightforward answer?”.,"To hum and haw means to speak in an evasive or roundabout way, but the context describes giving a direct and straightforward answer."
go the extra mile,"If I were you, id go the extra mile to please him.","If I were you, I would do more than what is necessary or expected to please him. ",To go the extra mile means to do more than what is necessary or expected.,"If I were you, I would not do anything beyond what is necessary or expected to please him.","To go the extra mile means to do more than what is necessary or expected, but this sentence says to not do anything beyond what is necessary."
leave well alone,It told them that they truly had no idea what they were dealing with and it was best to leave well alone.,It told them that they really didn't know what they were dealing with and it was best to stay away from it.,"To leave well alone means to stay away from something so as to avoid unintentionally causing problems, which is what it told them to do.",It told them that they really knew what they were dealing with and it was best to get involved with it.,"To leave well alone means to stay away from something so as to avoid unintentionally causing problems, but in this context it told them to get involved"
fun and games,"Its not all fun and games raising a child, you know.","It's not all playing around and wasting time raising a child, you know.","To say it's not all fun and games means that there is more to something than just playing around, in this case raising a child.","It is all hard work raising a child, you know.","To say it's not all fun and games means that there is more to something than just playing around, but in this sentence raising a child is described as hard work."
call in sick,"He was on duty saturday night, but he would call in sick and they would have to find someone to take his place.","He was on duty Saturday night, but he would inform his employer that he was too ill to come in and they would have to find someone to take his place.","To call in sick means to inform one's employer that one will be absent due to illness, which is what he would do in this scenario.","He was on duty Saturday night, but he would not inform his employer that he was too ill to come in and they would have to find someone to take his place.","To call in sick means to inform one's employer that one will be absent due to illness, but in this sentence he would not inform his employer"
go the whole hog,I may as well go the whole hog.,I may as well do this completely and without restraint.,"To go the whole hog means to do something as thoroughly as possible, which is what the speaker is suggesting.",I may as well not do this at all.,"To go the whole hog means to do something as thoroughly as possible, but the speaker is suggesting not doing it at all"
cut and dried,"She made it sound cut and dried, although it would be one of the hardest things she'd ever had to go through.","She made it sound fixed and definite, although it would be one of the hardest things she'd ever had to go through.",To make something sound cut and dried means to make it sound fixed and definite.,"She made it sound fluid and ever-changing, although it would be one of the hardest things she'd ever had to go through.","To make something sound cut and dried means to make it sound fixed and definite, but in this sentence it is made to sound fluid and ever-changing"
tie the knot,You are the last man I figured would tie the knot and you turn out to be the first.,You are the last man I figured would get married and you turn out to be the first.,"To tie the knot means to get married, so the entailment is that he got married.",You are the last man I figured would remain single and you turn out to be the first.,"To tie the knot means to get married, but the contradiction is that he remained single."
know the score,Maybe we just needed to talk it all out and know the score.,Maybe we just needed to talk it all out and realize the situation for what it was.,"To know the score is to understand the reality of a situation, which is what the speaker is referring to in this context.",Maybe we just needed to talk it all out and not have any idea about the current state of affairs.,"To know the score is to understand the reality of a situation, but the context describes not knowing the current state of affairs."
